,Facility Name,Location Type,Operator,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Address
251,,,,,,,,,,,,,
252,Annadale Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.731099,-73.851705,"102-32, 65th Avenue, Forest Hills, Queens, New York, 11375, United States"
253,Dag Hammarskjold Food Kiosk,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.752076,-73.968158,"Citi Bike - East 47th Street & 1st Avenue, Dag Hammarskjold Plaza, Beekman, Manhattan Community Board 6, Manhattan, New York County, New York, 10158, United States"
254,"Gerritsen Beach Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/gerritsen-beach,40.591379,-73.923939,"Brooklyn Public Library, 2808, Gerritsen Avenue, Gerritsen Beach, Brooklyn, Kings County, New York, 11229, United States"
255,Agnes Haywood Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.880494,-73.861748,"762, East 216th Street, Eastchester Heights, Bronx County, The Bronx, New York, 10467, United States"
256,Bath Beach Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.602295,-74.011596,"1185, Shore Parkway, Brooklyn, Kings County, New York, 11214, United States"
257,Prospect Park Lakeside Center,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.657069,-73.96418,"LeFrak Center at Lakeside, 171, East Drive, Flatbush, Brooklyn, Kings County, New York, 11215, United States"
258,"Harry Belafonte 115th Street Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/115th-street,40.802988,-73.953532,"115th Street Library, 203, West 115th Street, Manhattan Community Board 10, Manhattan, New York County, New York, 10026, United States"
259,Twenty-Four Sycamores Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.759419,-73.958863,"York Avenue & East 60th Street, York Avenue, Manhattan Community Board 8, Manhattan, New York County, New York, 10128, United States"
260,John J Carty Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.614496,-74.029411,"9515, Fort Hamilton Parkway, Fort Hamilton, Brooklyn, Kings County, New York, 11252, United States"
261,Catbird Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.773579,-73.945039,"Carl Schurz Park, Gracie Square, Manhattan Community Board 8, Manhattan, New York County, New York, 10028, United States"
262,Ella Fitzgerald Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.74473,-73.787536,"Ella Fitzgerald Playground, Peck Avenue, Queens, New York, 11365, United States"
263,Mosholu Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.872655,-73.882856,"250, East Mosholu Parkway South, Bedford Park, Bronx County, The Bronx, New York, 10458, United States"
264,Central Park Chess & Checkers House,Park,Central Park Conservancy,Year Round,7:30am - dusk,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.769114,-73.974619,"Chess and Checkers House, Playmates Arch, Manhattan, New York County, New York, 10153, United States"
265,,,,,,,,,,,,,
266,Coleman Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.710877,-73.993454,"Coleman Playground, Cherry Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States"
267,"Marcy Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/marcy,40.691631,-73.951285,"Brooklyn Public Library - Marcy Branch, 617, DeKalb Avenue, Brooklyn, Kings County, New York, 11206, United States"
268,"Rego Park Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/rego-park,40.727325,-73.864504,"Rego Park Branch Queens Borough Public Library, 91-41, 63rd Drive, Rego Park, Queens, New York, 11374, United States"
269,"New Lots Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/new-lots,40.665168,-73.886072,"Public School 72 (historical), 665, New Lots Avenue, East New York, Brooklyn, Kings County, New York, 11207, United States"
270,,,,,,,,,,,,,
271,"Riverside Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,,,,https://www.nypl.org/locations/riverside,40.77424,-73.984514,"New York Public Library, 127, Amsterdam Avenue, Manhattan Community Board 7, Manhattan, New York County, New York, 10023, United States"
272,,,,,,,,,,,,,
273,Paerdegat Basin Marina 4,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.627064,-73.904208,"Midget Squadron Yacht Club, Seaview Avenue, Bergen Beach, Brooklyn, Kings County, New York, 11236, United States"
274,Adventure Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.8368,-73.936612,"Adventure Playground, Old Croton Aqueduct Trail, Manhattan Community Board 12, Manhattan, New York County, New York, 10032, United States"
275,"Windsor Park Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/windsor-park,40.734513,-73.755621,"Queens Library at Windsor Park, 79-50, Bell Boulevard, Windsor Oak, Queens, New York, 11364, United States"
276,Brooklyn Bridge Park Zone 6,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,,,,,40.692928,-74.001669,"Pier 6, Brooklyn Bridge Park Greenway, Manhattan Community Board 1, Manhattan, New York County, New York, 11201, United States"
277,Benson Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.602372,-74.002325,"Benson Playground, Bath Avenue, Brooklyn, Kings County, New York, 11214, United States"
278,"Tremont Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/tremont,40.846054,-73.898351,"Tremont Library, 1866, Washington Avenue, East Tremont, Bronx County, The Bronx, New York, 10457, United States"
279,Gertrude Ederle Recreation Center,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.771467,-73.988742,"Gertrude Ederle Recreation Center, West 60th Street, Upper West Side, Manhattan, New York County, New York, 10069, United States"
280,Pelham South Park Headquarters,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.851719,-73.824705,"Charles J. Cimi Place & Subway Overpass, Charles J Cimi Road, Pelham Bay, Bronx County, The Bronx, New York, 10461, United States"
281,Franz Sigel Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.821366,-73.92599,"Grand Concourse, Bronx County, The Bronx, New York, 10451, United States"
282,Seaside Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.58072,-73.83051,"3, Betty Court, Rockaway Park, Queens, New York, 11694, United States"
283,Middle Long Meadow,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.665568,-73.971574,"Picnic House, 40, West Drive, Brooklyn, Kings County, New York, 11215, United States"
284,"Schomburg Center for Research in Black Culture, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 am - 6:00 pm 
Friday: 10:00 am - 6:00 pm  
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,,https://www.nypl.org/locations/schomburg,40.814657,-73.940945,"Schomburg Center for Research in Black Culture, 505, Malcolm X Boulevard, Harlem, Manhattan, New York County, New York, 10037, United States"
285,Emerald Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.730822,-73.806078,"Public School 200, Jewel Avenue, Pomonok, Queens, New York, 11365, United States"
286,The High Line Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.752578,-74.002128,"The High Line, West 29th Street, Chelsea, Manhattan, New York County, New York, 10001, United States"
287,Brigadier General Charles Young Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.819611,-73.936222,"680, Malcolm X Boulevard, Harlem, Manhattan, New York County, New York, 10037, United States"
288,Woods Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.674839,-73.929227,"1610, Bergen Street, Eastern Parkway, Brooklyn, Kings County, New York, 11213, United States"
289,Flynn Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.820925,-73.911881,"3080, 3rd Avenue, Bronx County, The Bronx, New York, 10451, United States"
290,Battery Park City Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.705234,-74.018395,"20, Battery Place, Manhattan Community Board 1, Manhattan, New York County, New York, 10280, United States"
291,Banneker Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.69069,-73.948793,"Public School 256, Kosciuszko Street, Brooklyn, Kings County, New York, 11221, United States"
292,Jacob H. Schiff Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.820365,-73.952109,"500, West 138th Street, Manhattan Community Board 9, Manhattan, New York County, New York, 10031, United States"
293,Howard Von Dohlen Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.69965,-73.813089,"91st Avenue, Queens County, New York, 11435, United States"
294,South Beach Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.579801,-74.075867,"Fishing Pier, Franklin D Roosevelt Boardwalk, South Beach, Staten Island, Richmond County, New York, 10305, United States"
295,Heckscher Playground,Park,Central Park Conservancy,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.768371,-73.977099,"Hecksher Playground, Dipway Arch, Manhattan, New York County, New York, 10106, United States"
296,Yak Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592456,-73.935791,"Frank J. Macchiarola Field, Batchelder Street, Sheepshead Bay, Brooklyn, Kings County, New York, 11235, United States"
297,Fmcp Heliport,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.74454,-73.850751,"Terrace on the Park, 52-11, 111th Street, Corona, Queens, New York, 11368, United States"
298,Fort Independence Playground,Park,NYC Parks,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.881621,-73.895905,"3820, Sedgwick Avenue, Kingsbridge, Bronx County, The Bronx, New York, 10468, United States"
299,Dyker Beach Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.605687,-74.01777,"327, Bay 8th Street, Brooklyn, Kings County, New York, 11228, United States"
300,Coffey Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.677206,-74.008709,"15, Verona Street, Red Hook, Brooklyn, Kings County, New York, 11231, United States"
301,"Jefferson Market Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 8:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/jefferson-market,40.734643,-73.999171,"Jefferson Market Library, 425, 6th Avenue, Manhattan Community Board 2, Manhattan, New York County, New York, 10011, United States"
302,Hudson River Park Pier 83,Park,Hudson River Park,Year Round,9:30am - 9:30pm,Fully Accessible,,,,,40.762739,-74.001471,"Circle Line, West 42nd Street, Clinton, Hell's Kitchen, Manhattan, New York County, New York, 10036, United States"
303,Poe Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.865038,-73.894697,"Poe Cottage, 2540, Grand Concourse, Fordham, Bronx County, The Bronx, New York, 10458, United States"
304,Castle Hill Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.839026,-73.852972,"Parker playground handball court, Castle Hill Avenue, Bronx County, The Bronx, New York, 10462, United States"
305,"Greenpoint Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/greenpoint,40.726036,-73.950696,"Greenpoint Library and Environmental Education Center, 107, Norman Avenue, Brooklyn, Kings County, New York, 11222, United States"
306,Cunningham Park Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.736644,-73.770656,"73rd Avenue, Fresh Meadows, Queens County, New York, 11364, United States"
307,Strawberry Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.709709,-73.955856,"342, Rodney Street, Williamsburg, Brooklyn, Kings County, New York, 11211, United States"
308,"South Beach Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm   
Wednesday: 11:00 am - 7:00 pm  
Thursday: 11:00 am - 7:00 pm    
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/south-beach,40.595811,-74.062982,"South Beach Library, 21-25, Robin Road, South Beach, Staten Island, Richmond County, New York, 10305, United States"
309,Peters Field,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.706435,-73.774661,"102-18, 183rd Place, Queens, New York, 11423, United States"
310,Leonardo Ingravallo Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.775968,-73.817167,"149-02, 25th Avenue, Linden Hill, Queens, New York, 11354, United States"
311,875 Third Avenue POPS,Privately Owned Public Space,Boston Properties Inc.,Year Round,Monday to Saturday: 7:00 am-11:00 pm; Sunday & holidays: 11:00 am-7:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,"""Yes, in women's restroom only""",,,40.757226,-73.969197,"875 Third, 875, 3rd Avenue, Beekman, Manhattan Community Board 6, Manhattan, New York County, New York, 10035, United States"
312,Sumner Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.697156,-73.94283,"Public School 59, 211, Throop Avenue, Bedford-Stuyvesant, Brooklyn, Kings County, New York, 11206, United States"
313,Rappaport Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.636784,-74.000795,"Monastery of the Precious Blood, 53rd Street, Borough Park, Brooklyn, Kings County, New York, 11219, United States"
314,Riverbank Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.825617,-73.953889,"Riverbank Playground, Riverside Drive, Manhattan Community Board 9, Manhattan, New York County, New York, 10031, United States"
315,Ferry Point Park Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.812005,-73.838561,"500, Hutchinson River Parkway, Bronx County, The Bronx, New York, 10465, United States"
316,,,,,,,,,,,,,
317,"Jerome Park Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/jerome-park,40.869078,-73.901194,"Jerome Park Library, 118, Eames Place, Kingsbridge Heights, Bronx County, The Bronx, New York, 10468, United States"
318,"West New Brighton Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/west-new-brighton,40.634517,-74.114823,"West New Brighton Library, 976, Castleton Avenue, West New Brighton, Staten Island, Richmond County, New York, 10310, United States"
319,Alley Springfield Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.741587,-73.748525,"Alley Springfield, 76th Avenue, Windsor Oak, Queens, New York, 11364, United States"
320,Wakefield Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.901858,-73.854766,"4520, Carpenter Avenue, Wakefield, Bronx County, The Bronx, New York, 10470, United States"
321,Playground One Forty Nine CIL,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.82591,-73.941282,"Playground One Forty Nine CIL, Bradhurst Avenue, Harlem, Manhattan, New York County, New York, 10039, United States"
322,,,,,,,,,,,,,
323,Ditmars Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.771561,-73.907325,"22-52, Steinway Street, Steinway, Queens, New York, 11105, United States"
324,Big Bush Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.740247,-73.902657,"Citi Bike, 63rd Street, Woodside, Queens, New York, 11377, United States"
325,"Harlem Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/harlem,40.806169,-73.943317,"Harlem Library, 9, West 124th Street, Harlem, Manhattan, New York County, New York, 10027, United States"
326,"Brooklyn Heights Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday 10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/brooklyn-heights,40.695691,-73.991349,"One Clinton, 1, Clinton Street, Brooklyn, Kings County, New York, 11242, United States"
327,Forest Park Tennis Courts,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.697171,-73.858126,"1, Park Lane South, Brooklyn Manor, Queens, New York, 11418, United States"
328,College Point Blvd Soccer Fields,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.75101,-73.83382,"Al Oerter Recreation Center, 131-40, Fowler Avenue, Queens, New York, 11355, United States"
329,,,,,,,,,,,,,
330,Wolfe's Pond Park Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.517387,-74.190987,"Holten Avenue, Staten Island, Richmond County, New York, 10309, United States"
331,,,,,,,,,,,,,
332,Pomonok Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.73616,-73.814097,"Kissena Boulevard & Pomonok Playground, Kissena Boulevard, Pomonok, Queens, New York, 11355, United States"
333,,,,,,,,,,,,,
334,Jackson Pond Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.701114,-73.842982,"Jackson Pond Playground, Myrtle Avenue, Brooklyn Manor, Queens, New York, 11418, United States"
335,"Battery Park City Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 11:00 am - 7:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 11:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/battery-park-city,40.715699,-74.01575,"The Riverhouse, 2, River Terrace, Manhattan Community Board 1, Manhattan, New York County, New York, 10282, United States"
336,Conservatory Garden,Park,Central Park Conservancy,Year Round,8am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.794194,-73.952736,"Conservatory Garden, 5th Avenue, East Harlem, Manhattan, New York County, New York, 10035, United States"
337,"St. Albans Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/st.albans,40.692508,-73.760074,"Saint Albans Branch Queens Borough Public Library, 191-05, Linden Boulevard, Saint Albans, Queens, New York, 11412, United States"
338,,,,,,,,,,,,,
339,Lindower Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.612282,-73.911223,"Lindower Park Pool, Mill Avenue, Mill Basin, Brooklyn, Kings County, New York, 11234, United States"
340,Washington Hall Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.695418,-73.966614,"Park Avenue, Clinton Hill, Brooklyn, Kings County, New York, 11205, United States"
341,Rockaway Beach 05b,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.58465,-73.810847,"8601, Shore Front Parkway, Rockaway Beach, Queens, New York, 11693, United States"
342,,,,,,,,,,,,,
343,Marie Curie Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.757089,-73.771511,"Middle School 158 Marie Curie, 46-35, Oceania Street, Oakland Gardens, Queens, New York, 11361, United States"
344,Judge Moses Weinstein Playground,Park,NYC Parks,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.718693,-73.820438,"78-15, 141st Street, Queens, New York, 11367, United States"
345,"Throg's Neck Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/throgs-neck,40.822881,-73.819096,"Throg's Neck Library, 3025, Cross Bronx Expressway, Throgs Neck, Bronx County, The Bronx, New York, 10465, United States"
346,Pilgrim Hill & Conservatory Water,Park,NYC Parks Concessionaire,Year Round,7:30am - dusk,Not Accessible,Multi-Stall W/M Restrooms,,,,40.773979,-73.966543,"Kerbs Boathouse, Kerb's Boathouse Terrace, Manhattan, New York County, New York, 10021, United States"
347,,,,,,,,,,,,,
348,"Jackson Heights Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/jackson-heights,40.750204,-73.885071,"Jackson Heights Branch Queens Library, 35-51, 81st Street, Jackson Heights, Queens, New York, 11372, United States"
349,,,,,,,,,,,,,
