Organization,Branch,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
Arms Acres Inc,Outpatient Clinic,3584 Jerome Avenue,,Bronx,10467,718-653-1537,http://www.armsacres.com,40.8849523,-73.87952663,1,,1,1,1,1,1,,,,,1,1,1,1,1,,,
Arms Acres Inc,Outpatient Clinic,80-02 Kew Gardens Road,7th Floor,Kew Gardens,11415,718-520-1513,http://www.armsacres.com,40.713723,-73.831054,1,,,1,1,1,,1,,,1,1,1,1,1,1,1,,
Astor Servs for Children and Families,Lawrence F Hickey Center,4010 Dyre Avenue,,Bronx,10466,718-515-3000,,40.890957,-73.830622,,1,,1,1,,,,,,,1,,,,,,,
TRI Center Inc,Drug Abuse Treatment,175 Remsen Street,,Brooklyn,11201,718-858-4050,http://www.tricenter.com,40.69329377,-73.99159637,1,1,,,,,1,1,1,1,1,,1,1,,1,1,,
Lower Eastside Service Center,Short Stay Methadone Residence,7 Gouverneur Slip East,,New York,10002,212-566-7590,http://www.lesc.org,40.710978,-73.983033,1,,1,1,,,,,1,,,,1,1,1,,,1,1
Odyssey House Inc,Leadership Center,309-311 East 6th Street,,New York,10003,212-780-1591,http://www.odysseyhouseinc.org,40.727256,-73.987671,,,1,1,,,,,,,,1,1,1,,,,,1
Community Access,East Village Access,242 East 2nd Street,,New York,10009,212-780-9008-7204,http://communityaccess.org,40.721568,-73.981787,,,1,1,,1,,,,,,,,1,1,,,,
VA NY Harbor Healthcare System,Manhattan Campus,423 East 23rd Street,,New York,10010,212-686-7500,http://www.nyharbor.va.gov/,40.736317,-73.977115,,,,,,1,1,1,,1,,,1,1,1,,1,1,
Ackerman Institute for the Family,,936 Broadway,Floor 2,New York,10010,212-879-4900-122,http://www.ackerman.org/,40.740341,-73.989195,,1,,1,1,1,1,,,1,,1,1,1,1,,,,
Bliss Poston the Second Wind,Chemical Dependency Outpatient,246 5th Avenue,Suite 500,New York,10001,212-481-1055-11,http://www.thesecondwind.com,40.744752,-73.987813,,,1,1,,1,,,,,,,1,1,1,,,,
Institute for Family Health,,16 East 16th Street,,New York,10003,212-633-0800,http://www.institute2000.org,40.736891,-73.991688,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,
Coney Island Hospital,CD/Dept Behav Health Clinic Component,Hammett Pavillion 422,2601 Ocean Parkway,Brooklyn,11235,718- 616-3000,,40.586007,-73.94186,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,
Metropolitan Center for Mental Health,,160 West 86th Street,,New York,10024,212-362-8755,,40.787184,-73.974453,,1,1,1,1,1,,,,,,1,1,1,1,1,,,
Metropolitan Center for Mental Health,,336 Central Park West,,New York,10025,212-864-3666,,40.790379,-73.966216,,1,1,1,1,1,,,,,,1,1,1,1,1,,,
Metropolitan Center for Mental Health,,160 West 86th Street,,New York,10024,212-362-8755,,40.787184,-73.974453,,1,1,1,1,1,,,,,,1,1,1,1,1,,,
Metropolitan Center for Mental Health,,336 Central Park West,,New York,10025,212-864-3666,,40.790379,-73.966216,,1,1,1,1,1,,,,,,1,1,1,1,1,,,
JASA,Geriatric Mental Health Outreach Servs,1 Fordham Plaza,Room 908,Bronx,10458,718-365-4044,http://www.jasa.org,40.86064,-73.890228,,1,1,1,1,1,1,1,,1,1,,,,1,1,1,,
Therapeutic Early Childhood Center,Preschool Day Treatment,35 East 110 Street,,New York,10029,212-426-3400,http://www.northsidecenter.org,40.796286,-73.947899,1,1,,1,,,,1,1,1,,1,1,1,1,,1,,
Argus Community Inc,Striver House,202-204 Edgecomb Avenue,,New York,10030,212-690-1900,http://www.arguscommunity.org,40.822512,-73.944052,1,,,1,,1,,,,,,,1,1,1,1,,,1
Astor Servs for Children and Families,,750 Tilden Street,,Bronx,10467,718-231-3400-222,http://www.astorservices.org,40.876531,-73.862786,,1,,1,1,1,1,,,,1,1,1,,,1,1,,
SES Operating Corp/DBA Harlem East,Life Plan Counseling Center,2367-69 2nd Avenue,,New York,10035,212-876-2300,http://www.harlemeastlifeplan.com/,40.800589,-73.935541,,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,
Osborne Treatment Services Inc,Outpt Trt Services El Rio Program,809 Westchester Avenue,,Bronx,10455,718-707-2600,http://www.osborneny.org,40.819252,-73.902936,1,,,1,,1,1,,1,1,1,1,1,1,1,,,,
First Steps to Recovery Inc,CD Outpatient,312 West 47th Street,Ground Floor,New York,10036,212- 397-3711,http://www.firststepstorecovery.com,40.76048576,-73.98780562,1,,,1,,1,1,1,,1,1,,1,1,1,1,1,,
Joan and Sanford I Weill Med College,Midtown Ctr for Trt and Research OP,56 West 45th Street,9th Floor,New York,10036,212-764-5178-11,http://www.midtowntreatmentcenter.org,40.756166,-73.981877,1,1,,1,1,1,,1,,1,,,1,1,1,,1,,
Richmond University Medical Center,Behavioral Health,355 Bard Avenue,,Staten Island,10310,718-818-6300,http://www.rumcsi.org,40.635877,-74.105557,,,1,1,,1,,,,1,,1,1,1,1,,,1,
Richmond University Medical Center,Behavioral Health,75 Vanderbilt Avenue,Bayley Seton Campus,Staten Island,10304,718-818-5692,,40.622576,-74.075613,,1,1,1,,1,,,,1,,1,1,1,,,,1,
VA NY Harbor Healthcare System,Staten Island Community Clinic,1150 South Avenue,Suite 301,Staten Island,10314,718-761-2973,,40.610434,-74.177799,,,1,1,,1,,1,,1,,,1,1,1,,1,,
Astor Servs for Children and Families,Highbridge Clinic,1419 Shakespeare Avenue,First Floor,Bronx,10452,718-732-7080,http://www.astorservices.org,40.842562,-73.921155,,,,1,1,1,,,,,,1,1,,,1,,,
Morris Heights Health Center,Walton Avenue,25 East 183rd Street,,Bronx,10453,718-839-8900-3333,http://www.mhhc.org,40.858653,-73.902921,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,
Morris Heights Health Center,Harrison Circle,57 West Burnside Avenue,Level B-1,Bronx,10453,718-839-8900-333,http://www.mhhc.org,40.854328,-73.909616,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,
Postgraduate Center for MH Inc,PROS,1775 Grand Concourse Street,Floor 8,Bronx,10453,212-560-6757,http://www.pgcmh.org,40.851587,-73.915407,1,1,1,1,,,,,,,,,1,1,1,,,,
Services for the UnderServed,SUS/Wellness Works Mental Hlth Clinic,1125 Fulton Street,2nd Floor,Brooklyn,11238,347-226-9025,http://www.sus.org,40.681565,-73.956668,,1,1,1,,1,1,1,,,1,,,1,1,,1,,
Odyssey House Inc,Family ReEntry Program,1328 Clinton Avenue,,Bronx,10456,718-378-8995,http://www.odysseyhouseinc.org,40.83200125,-73.9002221,1,,1,1,1,1,,,,,,1,1,1,1,,,,1
Astor Servs for Children and Families,Astor Day Treatment Program,4330 Byron Avenue,,Bronx,10466,718-324-7526,http://www.astorservices.org/,40.895746,-73.853926,,,1,1,1,,,,,,,1,,,,1,,,
TRI Center Inc,Drug Abuse Treatment/New York,2488 Grand Concourse Street,,Bronx,10458,718- 584-7204,http://www.tricenter.com,40.86213605,-73.89713486,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,,
Montefiore Medical Center,North Division/Inpatient Psych Unit,600 East 233rd Street,7 South,Bronx,10466,718-920-9826,http://www.montefiore.org,40.893753,-73.861124,1,1,1,1,1,1,,,,,,,1,1,1,1,,1,
Jewish Board of Family/Childrens Servs,Harry Blumenfeld Counseling/Pelham,750 Astor Avenue,,Bronx,10467,718-882-5000-220,,40.859307,-73.865273,,1,1,1,1,1,,,,,1,1,1,1,1,,,,
Astor Servs for Children and Families,,750 Tilden Street,,Bronx,10467,718-231-3400-222,http://www.astorservices.org,40.876531,-73.862786,,1,,1,1,1,1,,,,1,1,1,,,1,1,,
Odyssey House Inc,Lafayette Program,1264 Lafayette Avenue,,Bronx,10459,718-378-8671,http://www.OdysseyHouseinc.org,40.816356,-73.888475,,,1,1,1,1,,,,,,1,1,1,1,,,,1
Brooklyn Center for,Families in Crisis,1309-1311 Foster Avenue,,Brooklyn,11230,718-282-0010,,40.633668,-73.964444,1,1,1,,,1,,,,,,1,1,1,1,1,,,
Saint Johns Episcopal Hospital,,327 Beach 19th Street,,Far Rockaway,11691,718-869-7248,http://www.ehs.org/,40.598001,-73.752973,,1,1,1,,1,,,,,,1,1,1,1,1,,1,
Shiloh Consulting LLC,,214 West 29th Street,Suite 703,New York,10001,212-564-7631,,40.748077,-73.994027,,1,1,1,1,1,,,,,,,1,1,1,,,,
Greenwich House Inc,Senior Citizens Hlth/Consultation Ctr,27 Barrow Street,,New York,10014,212-242-1762,http://www.greenwichhouse.org,40.732377,-74.003152,,,1,1,,1,1,1,,,,,,,1,,1,,
HANAC Inc,HANAC 822/Chem Dependency Program,3114 30th Avenue,,Astoria,11102,(718) 204-1200,http://www.HANAC.org,40.767009,-73.9217,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,
New York Harbor Healthcare System,Brooklyn Campus SATP,800 Poly Place,,Brooklyn,11209,718- 836-6600,,40.609875,-74.027264,,,,,,1,,1,,1,1,,1,1,1,1,1,1,
Neighborhood Counseling Center Inc,Dyker Heights Clinic,7701 13th Avenue,,Brooklyn,11228,718-232-1351,,40.618939,-74.008558,,,1,1,1,1,,,,,,1,1,1,1,1,,,
Dynamic Youth Community Inc,Community Residence,1830 Coney Island Avenue,,Brooklyn,11230,718-376-7923,http://www.dycinc.org,40.612794,-73.963239,1,,,1,1,,,,,,,,1,1,,,,,1
New York Therapeutic Communities Inc,,162-24 Jamaica Avenue,,Jamaica,11432,212-971-6033,http://www.staynout.org,40.704361,-73.797556,1,,1,1,1,1,,,,,,,1,1,,1,,,
Interfaith Medical Center,MMTP,882 Bergen Street,,Brooklyn,11238,718-613-7511,http://www.interfaithmedical.org,40.67725649,-73.95812845,1,1,1,1,1,1,,,,,,,1,1,1,,,,
Asian Community Alcohol Counseling,Asian American Mental Health,39-01 Main Street,Suite 508,Flushing,11354,718-445-0111,,40.760122,-73.830181,,,,,1,1,,,,,,1,1,1,1,,,,
Elmcor Youth and Adult Activities Inc,Residential,107-20 Northern Boulevard,,Corona,11368,718-651-0096-202,http://www.Elmcor.org,40.757747,-73.861609,1,1,,1,1,1,,,,1,1,,1,1,1,,,,1
Bleuler Psychotherapy Center Inc,,104-70 Queens Boulevard,,Forest Hills,11375,718-275-6010,,40.722963,-73.848364,1,1,1,1,1,1,,,,,,1,1,1,1,,,,
AIDS Center of Queens County Inc,ACQC,161-21 Jamaica Avenue,6th and 7th Floors,Jamaica,11432,718-896-2500,http://www.acqc.org/,40.704219,-73.797974,,,1,1,,1,1,,,1,,,1,1,1,1,,,
Queens Village Comm for MH for,JCAP Inc,116-30 Sutphin Boulevard,,Jamaica,11434,718-322-2500-619,http://www.jcapprorams.com,40.681947,-73.792813,1,,1,1,,1,,1,,1,1,,1,1,,1,1,,1
Visiting Nurse Service of New York,Friends Clinic,489-493 East 153rd Street,,Bronx,10455,718-742-7000,,40.81844,-73.913821,,1,,1,,1,1,,,,,1,1,1,1,1,,,
Interborough Developmental and,Consultation Ctr/Crown Heights Clinic,921 East New York Avenue,,Brooklyn,11203,718-778-0485,http://www.interborough.org,40.662654,-73.933181,,1,1,1,1,1,,,,,1,1,1,1,1,1,,,
Bronx Addiction Treatment Center,CD Inpatient Rehab Program,1500 Waters Place,Building 13,Bronx,10461,718-904-0026,http://www.oasas.ny.gov/atc/bronx/index.cfm,40.8452928,-73.84079263,1,1,,1,1,1,1,1,1,,1,,,1,1,1,1,,1
Jewish Board of Family/Childrens Servs,Boro Park Counseling Center,1273 53rd Street,,Brooklyn,11219,718-435-5700,,40.633017,-73.994805,,1,1,1,1,1,,,,,,1,1,1,1,,,,
RUMC Silberstein Clinic Med Sup OP,,427 Forest Avenue,,Staten Island,10301,718-876-2362,http://www.rumcsi.org,40.63081803,-74.10359098,1,,1,1,,1,1,1,,1,1,,1,1,1,1,1,,
START Treatment and Recovery Centers,Fort Greene Clinic OTP,937 Fulton Street,2nd and 3rd Floors,Brooklyn,11238,718-789-1212,http://www.startny.org,40.683511,-73.965609,1,,1,1,,1,,,,1,,,1,1,,1,,,
First Steps to Recovery Inc,Outpatient Chemical Dependency Clinic,2990 Brighton 12th Street,Suite 1-F,Brooklyn,11235,212-397-3711,http://www.firststepstorecovery.com,40.580162,-73.956775,1,,,1,,1,,,,,,,1,1,,,,,
Greenwich House Inc,Greenwich House Childrens Safety Proj,27 Barrow Street,2nd Floor,New York,10014,212-242-4140-237,http://www.greenwichhouse.org,40.732377,-74.003152,,1,1,1,1,1,,,,,,1,1,,1,,,,
BGR Services CD OP,DBA The PAC Program of Brooklyn,7 Debevoise Street,2nd Floor,Brooklyn,11206,718-388-5950,http://www.thepacprogram.com,40.701429,-73.943098,1,1,1,1,1,1,,,,,,1,,1,,1,,,
Staten Island University Hospital,(SIUH) North Site Outpatient MH Clinic,450 Seaview Avenue,,Staten Island,10305,718-226-9000-8911,,40.584023,-74.087798,,1,1,1,,1,,,,,,,,1,1,,,,
Transitional Services for New York Inc,PROS Program,90-27 Sutphin Boulevard,5th Floor,Jamaica,11435,718-526-8400-7137,http://www.tsiny.org,40.702048,-73.808017,,,,1,,,,,,,,,1,1,1,,,,
Blanton Peale Counseling Center,Blanton Peale Institute,7-9 West 30th Street,,New York,10001,212-725-7850,http://blantonpeale.org,40.746473,-73.987097,,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,
Harlem Bay Network PROS,,116 East 124th Street,,New York,10035,212-876-6083,http://www.mha-nyc.org,40.803977,-73.938796,,,1,1,1,,1,,,,1,,,1,1,,,,
New York City Childrens Center,Queens Mid Childhood Clinic at PS 169,110 East 88th Street,PS 169,New York,10128,212-987-2010,http://omh.ny.gov,40.780971,-73.955277,,1,,1,1,,,,,,,1,1,,,1,,,
Faith Mission,Crisis Center Inc,114-40 Van Wyck Expressway,,South Ozone Park,11420,718-322-3455,http://www.fmacc.org,40.681676,-73.805988,1,,,,,,,,,,1,,1,1,,,,,1
Metropolitan Center for Mental Health,,160 West 86th Street,,New York,10024,212-362-8755,,40.787184,-73.974453,,1,1,1,1,1,,,,,,1,1,1,1,1,,,
Metropolitan Center for Mental Health,,336 Central Park West,,New York,10025,212-864-3666,,40.790379,-73.966216,,1,1,1,1,1,,,,,,1,1,1,1,1,,,
Promesa Inc,CD Outpatient Treatment (CDOP),1776 Clay Avenue,,Bronx,10457,718-960-7503,http://www.acacianetwork.org,40.846171,-73.904316,,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,
Fortune Society Inc,,29-76 Northern Boulevard,,Long Island City,11101,212-691-7554,http://www.fortunesociety.org,40.750423,-73.935093,,,1,1,,1,,,,1,,,,1,1,1,,,
Argus Community Inc,Adult Resocialization Unit,507 West 145th Street,,New York,10031,212-234-1660,http://www.arguscommunity.org,40.825773,-73.948157,1,,1,,1,1,,,,,,,,1,,,,,
Jewish Board of Family/Childrens Servs,Crown Heights Counseling Center,1055 St Johns Place,,Brooklyn,11213,718-773-2080,,40.671424,-73.943004,,,1,1,1,1,,,,,,1,1,1,1,1,,,
Amethyst House Inc,CD Community Residence,280 Richmond Terrace,,Staten Island,10301,718-448-1900,,40.647617,-74.082614,1,,1,1,1,1,,,,,,,1,1,,,,,1
Odyssey House Inc,Outpatient Services,953 Southern Boulevard,Suite 301,Bronx,10459,718-860-2994,http://www.odysseyhouseinc.org,40.821011,-73.891589,,,1,1,1,1,,,1,,,1,1,1,1,,,,
New York Therapeutic Communities Inc,,162-24 Jamaica Avenue,,Jamaica,11432,212-971-6033,http://www.staynout.org,40.704361,-73.797556,1,,1,1,1,1,,,,,,,1,1,,1,,,
Shiloh Consulting LLC,,214 West 29th Street,Suite 703,New York,10001,212-564-7631,,40.748077,-73.994027,,1,1,1,1,1,,,,,,,1,1,1,,,,
Greenwich House Inc,Chemical Dependency Program,122 West 27th Street,6th Floor,New York,10001,212-691-2900-273,http://www.greenwichhouse.org,40.745659,-73.99235,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,
Greenwich House Inc,Greenwich House East OTP,190 Mercer Street,4th Floor,New York,10012,212-677-3400,http://www.greenwichhouse.org,40.726197,-73.997144,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,
League School,,567 Kingston Avenue,,Brooklyn,11203,718-498-2500,http://www.leaguetreatmentcenter.org,40.65964,-73.941894,,1,,1,1,1,,,,,,1,1,1,1,,,,
Epilepsy Institute,DBA Epilepsy Foundation Counseling Ctr,65 Broadway Street,5th Floor Suite 505,New York,10006,212-677-8550-14,http://www.efmny.org,40.707203,-74.012444,,1,1,1,,1,,,,,,,1,1,1,,,,
Asian Community Alcohol Counseling,Asian American Mental Health,39-01 Main Street,Suite 508,Flushing,11354,718-445-0111,,40.760122,-73.830181,,,,,1,1,,,,,,1,1,1,1,,,,
Bridge Back to Life Center Inc,,1688 Victory Boulevard,,Staten Island,10314,718-447-5700,http://www.bridgebacktolife.com,40.6132303,-74.12009272,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,
Bridge Back to Life Center Inc,,175 Remsen Street,10th Floor Suite 1010,Brooklyn,11201,718-852-5552,http://www.bridgebacktolife.com,40.693404,-73.991547,1,,1,1,1,1,1,1,,1,1,,1,1,1,,1,,
Bridge Back to Life Center Inc,,3044 Coney Island Avenue,3rd Floor,Brooklyn,11235,718-265-4200-113,http://www.bridgebacktolife.com,40.582129,-73.96032,1,,1,1,1,1,,,,,,,1,1,1,1,,,
Success Counseling Servs,CD Outpt Servs,1015-1017 Ogden Avenue,,Bronx,10452,718-538-6112,http://www.success-counseling.com,40.833461,-73.929307,,,1,1,1,,1,1,,1,1,,1,1,1,1,1,,
NYC/HHC Queens Hospital Center,Queens Hosp Ctr Child Adolescent OPD,82-68 164 Street,P315,Jamaica,11432,718-883-2700,,40.717246,-73.80347,,1,1,1,1,1,,,,,,1,,,,,,,
Brooklyn Hospital Center,9B Detox Unit,121 Dekalb Avenue,,Brooklyn,11201,718-250-8900,http://www.mytbh.com,40.689886,-73.977705,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,
Saint Barnabas Hospital,Inpatient Detox,4422 3rd Avenue,,Bronx,10457,718-960-6636,http://www.stbarnabashospital.org/,40.807749,-73.929633,1,,1,1,,1,1,1,,1,,,1,1,,1,1,1,
Jewish Board of Family/Childrens Servs,Pride of Judea Counseling Center,243-02 Northern Boulevard,,Little Neck,11362,718-423-6200,http://www.jbfcs.org/programs-services/counseling-services/list-programs/,40.765224,-73.7427,,1,1,1,1,1,,,,,,1,1,1,1,,,,
Center for Hearing and Communications,,50 Broadway,Floor 6,New York,10004,917-305-7793,http://chchearing.org,40.706441,-74.012651,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,
Interfaith Medical Center Inc,Behavioral Health Services,1545 Atlantic Avenue,,Brooklyn,11213,718-613-4000x4120,http://interfaithmedical.org,40.678211,-73.937578,,1,1,1,,1,1,1,,1,,,1,1,1,,1,1,
HELP MMTP Clinic Unit II OTP,,2367-2369 2nd Avenue,1st and 2nd Floors,New York,10035,(212) 876-2300,http://www.harlemeastlifeplan.com,40.800674,-73.935513,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,
ACI,,255 West 36th Street,8th Floor,New York,10016,212-378-4545,http://www.acirehab.org,40.746241,-73.975321,,,1,,,1,,,,,,,1,1,1,1,,,
AHRC Healthcare Inc,Outpatient Chemical Dependency Program,83 Maiden Lane,6th Floor,New York,10038,212-780-2747,http://www.accesschc.org,40.707546,-74.007344,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,,
Addicts Rehabilitation Center Fund Inc,Addicts Residential Rehabilitation IR,1881 Park Avenue,,New York,10035,212-427-1342,http://www.addictsrehabfund.org,40.806955,-73.937196,1,,1,1,1,1,1,1,,1,1,,1,1,,,1,,1
Addicts Rehabilitation Center Fund Inc,Addicts Residential Rehabilitation IR1,2015-25 Madison Avenue,,New York,10035,212-427-6960,http://www.arcfoundationinc.org,40.807724,-73.938813,1,,1,1,1,1,1,1,,1,1,,1,1,,,1,,1
Advanced Center for Psychotherapy Inc,Adv Ctr Psychotherapy Jamaica Esates,178-10 Wexford Terrace,,Jamaica,11432,718-658-1123,,40.712856,-73.785093,,1,1,1,,1,,,,,,1,1,1,1,1,,,
Advanced Human Services Inc,Chemical Dependency Outpatient Program,112-115 72nd Road,Basement,Forest Hills,11375,718-261-3437,http://www.advancedhumanservices.com,40.716105,-73.843092,1,,,1,,,,1,,,1,,,1,1,1,1,,
Alpha School Center OP,,2400 Linden Boulevard,,Brooklyn,11208,718-257-5800,http://www.helppsi.com,40.665061,-73.8744,1,,1,1,1,1,,,,,,,1,1,1,1,,,
Anchor House Inc,Mens Facility,1041 Bergen Street,,Brooklyn,11216,718-771-0760,http://www.anchorhousenyc.org,40.676333,-73.951913,1,,,,1,,,1,,,,,1,1,1,1,1,,1
Anchor House Inc,Womens Facility,976 Park Place,,Brooklyn,11213,718-771-0760,,40.672888,-73.945254,1,,,,,,1,,1,1,1,,1,1,,,,,1
Argus Community Inc,Harbor House II MICA,760 East 160th Street,,Bronx,10456,718-401-5700-5788,http://www.arguscommunity.org,40.820432,-73.904758,1,,1,1,1,1,,,,1,,1,1,1,1,,,,1
Argus Community Inc,Harbor House MICA Treatment Program,402 East 156th Street,,Bronx,10455,718-993-2376-7157,http://www.arguscommunity.org,40.82080657,-73.9155149,,,1,1,1,1,,,,,,,,1,,,,,1
Assertive Community Treatment Team,,1795 Lexington Avenue,,New York,10029,212-289-1788,,40.795784,-73.943589,,,,1,,1,,,,,,,1,1,1,,,,
Association to Benefit Children,Childrens Mobile Mental Health Clinic,1841 Park Avenue,,New York,10035,646-459-6165,http://www.a-b-c.org/,40.805641,-73.938107,,1,1,1,1,1,,,,,1,1,1,,,,,,
August Aichhorn Center,Adolecent Residential Care Inc,23 West 106th Street,,New York,10025,212-316-9353,http://www.aichhorn.org,40.798783,-73.961044,,1,,1,,,,,,,,1,,,,,,1,1
Bailey House Inc,Mental Health Clinic,1751 Park Avenue,3rd Floor,New York,10035,212-289-6008,http://www.baileyhouse.org,40.802488,-73.94067,,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,,
Bellevue Hospital Center,Department of Psychiatry,462 1st Avenue,,New York,10016,212-562-4601,,40.738619,-73.975273,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,
Bellevue Hospital Center,Detoxification Service/20 South,462 1st Avenue,,New York,10016,212-562-4623,,40.739378,-73.975625,1,,1,1,1,1,,,,,,,,1,1,1,,1,
Beth Israel Medical Center,MMTP Clinic,26 Avenue A,,New York,10009,212-420-2078,http://www.wehealny.org,40.723128,-73.985332,1,,,1,1,,,,,,,,1,1,1,,,,
Beth Israel Medical Center,MMTP Clinic 1,1825 Park Avenue,8th Floor,New York,10035,212-774-3210,http://www.wehealny.org,40.80492297,-73.93890146,,,1,1,1,1,,,1,,,,1,1,1,,,,
Beth Israel Medical Center,MMTP Clinic 1E,429 2nd Avenue,1st Floor,New York,10010,212-726-6800,,40.739149,-73.980275,1,,1,1,1,,,,,,,,,1,,,,,
Beth Israel Medical Center,MMTP Clinic 2,103 East 125th Street,4th Floor,New York,10035,212-774-3200,http://www.wehealny.org,40.805146,-73.938492,1,1,,1,1,1,1,,1,1,1,,1,1,1,,,,
Beth Israel Medical Center,MMTP Clinic 3G,429 2nd Avenue,3rd Floor,New York,10010,212-726-6823,http://www.wehealny.org,40.739149,-73.980275,1,,1,1,1,1,,,,,,1,1,1,1,,,,
Beth Israel Medical Center,MMTP Clinic 6/7,1825 Park Avenue,2nd Floor,New York,10035,212-774-3260,http://www.wehealny.org,40.805075,-73.938805,,,1,1,1,1,,,1,,,,1,1,1,,,,
Beth Israel Medical Center,MMTP Clinic 8,132 West 125th Street,6th Floor,New York,10027,212-636-4865,http://www.wehealny.org/services/bi_mmtp/index.html,40.808262,-73.947241,1,,,1,1,1,,,,,,,1,1,1,,,,
Beth Israel Medical Center,MMTP Cumberland Clinic,100 Flatbush Avenue,,Brooklyn,11217,718-237-9600,http://www.mmtp.org,40.685723,-73.978826,1,,1,1,1,1,,,,,,,1,1,,,,,
Beverley Mack Harry Consulting Svs Inc,Family Access to Counseling Eval Servs,738 Crown Street,Floor 1,Brooklyn,11213,718-363-0100,http://www.bmhtherapy.org/,40.66505,-73.933196,,1,1,1,1,1,,,1,,1,1,1,1,1,1,,,
Bohan Denton Flatlands Guidance Center,,2037 Utica Avenue,2nd Floor,Brooklyn,11234,718-377-5755,http://ccbq.org,40.622116,-73.926859,,1,1,1,1,1,,,,,1,1,1,1,1,1,,,
Bridge Back to Life Center Inc,Outpatient Services,500 8th Avenue,Suite 906,New York,10018,212-679-4960,http://www.bridgebacktolife.com,40.753045,-73.992397,1,,1,1,1,1,1,1,1,1,1,,1,1,,,1,,
Bridge Inc,Clinical Treatment Programs,248 West 108th Street,,New York,10025,212-663-3000,,40.802448,-73.967013,,,1,1,,1,,1,1,,,,1,1,1,,1,,
Bridge Inc,East House,538 East 6th Street,,New York,10009,212-260-0950,,40.724518,-73.982309,,,1,1,,1,,1,1,,,,1,1,1,,1,,1
Bridge Inc,Old Broadway House,551 West 125th Street,,New York,10027,212-663-0211,,40.815014,-73.957313,1,1,1,1,1,,,,,,,,,1,1,,,,1
Bridge Inc,Rita Berger House,248 West 108th Street,,New York,10025,212-663-3000,http://thebridgeny.org,40.802448,-73.967013,,,1,1,,1,,1,1,,,,1,1,1,,1,,1
Bridging Access to Care Inc,Bridge to Recovery,260 Broadway,4th Floor,Brooklyn,11213,347-505-5120,http://www.batf.net,40.708693,-73.95957,,1,1,1,1,1,,,,1,,,1,1,1,1,,,
Bronx Lebanon Hospital Center,Community Residence,1285 Fulton Avenue,,Bronx,10456,718-518-3700-3733,http://www.bronxcare.org,40.832127,-73.903936,1,1,1,1,1,1,,,,,,,1,1,1,,,,1
Bronx Provider Consumer Alliance,Resource Ctr/Mental Health Programs,1500 Waters Places,Parker Building Room 212,Bronx,10461,718-862-3347,,40.847502,-73.84168,,,,,1,,,1,,,,,1,1,,,1,,
Bronx Psychiatric Center,ACT Team,3050 White Plains Road,2nd Floor,Bronx,10467,718-944-7053,,40.870344,-73.86719,,1,1,1,,1,,,,,,,1,1,1,1,,,
Bronx/Lebanon Hospital Center,Childrens Services,406 East 176th Street,,Bronx,10457,718-901-6888,http://www.bronx-leb.org/,40.846532,-73.901104,,1,1,1,1,1,1,,,1,,1,,,,1,,,
Bronx/Lebanon Hospital Center,Inpatient Psychiatric Unit,1265 Franklin Avenue,,Bronx,10456,718-579-7385,http://www.Bronxcare.org/,40.831154,-73.903041,,1,1,1,1,1,1,,,1,,1,1,1,1,1,,1,
Bronx/Lebanon Hospital Center,Outpatient 2,401 East 167th Street,2nd Floor,Bronx,10456,718-579-7385,,40.830711,-73.910307,,,1,1,1,1,,,,,,,1,1,1,1,,,
Bronx/Lebanon Hospital Center,Psychiatric Inpatient Service,1265 Franklin Avenue,,Bronx,10456,718-579-7385,http://www.bronxlebanon.org/,40.831154,-73.903041,,1,1,1,1,1,,,,,,1,1,1,1,1,,1,
Brookdale Hospital Medical Center,CMHC Adult Clinic,1 Brookdale Plaza,12th Floor,Brooklyn,11212,718-240-5644,,40.654277,-73.912414,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,
Brooklyn Bureau of Community Services,Metro Club PROS,25 Chapel Street,,Brooklyn,11201,718-596-8960,http://www.wearebcs.org,40.697327,-73.986135,,,1,1,1,1,,,,,,,1,1,1,,,,
