Facility Name,Location Type,Operator,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude
Prospect Park Lakeside Center,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.657069,-73.96418
"Harry Belafonte 115th Street Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/115th-street,40.802988,-73.953532
Twenty-Four Sycamores Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.759419,-73.958863
John J Carty Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.614496,-74.029411
Catbird Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.773579,-73.945039
Ella Fitzgerald Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.74473,-73.787536
Mosholu Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.872655,-73.882856
Central Park Chess & Checkers House,Park,Central Park Conservancy,Year Round,7:30am - dusk,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.769114,-73.974619
,,,,,,,,,,,
Coleman Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.710877,-73.993454
"Marcy Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/marcy,40.691631,-73.951285
"Rego Park Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/rego-park,40.727325,-73.864504
"New Lots Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/new-lots,40.665168,-73.886072
,,,,,,,,,,,
"Riverside Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,,,,https://www.nypl.org/locations/riverside,40.77424,-73.984514
,,,,,,,,,,,
Paerdegat Basin Marina 4,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.627064,-73.904208
Adventure Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.8368,-73.936612
"Windsor Park Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/windsor-park,40.734513,-73.755621
Brooklyn Bridge Park Zone 6,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,,,,,40.692928,-74.001669
Benson Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.602372,-74.002325
"Tremont Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/tremont,40.846054,-73.898351
Gertrude Ederle Recreation Center,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.771467,-73.988742
Pelham South Park Headquarters,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.851719,-73.824705
Franz Sigel Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.821366,-73.92599
Seaside Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.58072,-73.83051
Middle Long Meadow,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.665568,-73.971574
"Schomburg Center for Research in Black Culture, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 am - 6:00 pm 
Friday: 10:00 am - 6:00 pm  
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,,https://www.nypl.org/locations/schomburg,40.814657,-73.940945
Emerald Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.730822,-73.806078
The High Line Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.752578,-74.002128
Brigadier General Charles Young Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.819611,-73.936222
Woods Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.674839,-73.929227
Flynn Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.820925,-73.911881
Battery Park City Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.705234,-74.018395
Banneker Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.69069,-73.948793
Jacob H. Schiff Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.820365,-73.952109
Howard Von Dohlen Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.69965,-73.813089
South Beach Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.579801,-74.075867
Heckscher Playground,Park,Central Park Conservancy,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.768371,-73.977099
Yak Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592456,-73.935791
Fmcp Heliport,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.74454,-73.850751
Fort Independence Playground,Park,NYC Parks,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.881621,-73.895905
Dyker Beach Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.605687,-74.01777
Coffey Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.677206,-74.008709
"Jefferson Market Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 8:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/jefferson-market,40.734643,-73.999171
Hudson River Park Pier 83,Park,Hudson River Park,Year Round,9:30am - 9:30pm,Fully Accessible,,,,,40.762739,-74.001471
Poe Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.865038,-73.894697
Castle Hill Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.839026,-73.852972
"Greenpoint Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/greenpoint,40.726036,-73.950696
Cunningham Park Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.736644,-73.770656
Strawberry Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.709709,-73.955856
"South Beach Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm   
Wednesday: 11:00 am - 7:00 pm  
Thursday: 11:00 am - 7:00 pm    
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/south-beach,40.595811,-74.062982
Peters Field,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.706435,-73.774661
Leonardo Ingravallo Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.775968,-73.817167
875 Third Avenue POPS,Privately Owned Public Space,Boston Properties Inc.,Year Round,Monday to Saturday: 7:00 am-11:00 pm; Sunday & holidays: 11:00 am-7:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,"""Yes, in women's restroom only""",,,40.757226,-73.969197
Sumner Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.697156,-73.94283
Rappaport Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.636784,-74.000795
Riverbank Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.825617,-73.953889
Ferry Point Park Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.812005,-73.838561
,,,,,,,,,,,
"Jerome Park Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/jerome-park,40.869078,-73.901194
"West New Brighton Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/west-new-brighton,40.634517,-74.114823
Alley Springfield Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.741587,-73.748525
Wakefield Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.901858,-73.854766
Playground One Forty Nine CIL,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.82591,-73.941282
,,,,,,,,,,,
Ditmars Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.771561,-73.907325
Big Bush Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.740247,-73.902657
"Harlem Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/harlem,40.806169,-73.943317
"Brooklyn Heights Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday 10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/brooklyn-heights,40.695691,-73.991349
Forest Park Tennis Courts,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.697171,-73.858126
College Point Blvd Soccer Fields,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.75101,-73.83382
,,,,,,,,,,,
Wolfe's Pond Park Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.517387,-74.190987
,,,,,,,,,,,
Pomonok Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.73616,-73.814097
,,,,,,,,,,,
Jackson Pond Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.701114,-73.842982
"Battery Park City Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 11:00 am - 7:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 11:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/battery-park-city,40.715699,-74.01575
Conservatory Garden,Park,Central Park Conservancy,Year Round,8am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.794194,-73.952736
"St. Albans Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/st.albans,40.692508,-73.760074
,,,,,,,,,,,
Lindower Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.612282,-73.911223
Washington Hall Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.695418,-73.966614
Rockaway Beach 05b,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.58465,-73.810847
,,,,,,,,,,,
Marie Curie Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.757089,-73.771511
Judge Moses Weinstein Playground,Park,NYC Parks,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.718693,-73.820438
"Throg's Neck Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/throgs-neck,40.822881,-73.819096
Pilgrim Hill & Conservatory Water,Park,NYC Parks Concessionaire,Year Round,7:30am - dusk,Not Accessible,Multi-Stall W/M Restrooms,,,,40.773979,-73.966543
,,,,,,,,,,,
"Jackson Heights Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/jackson-heights,40.750204,-73.885071
,,,,,,,,,,,
Owl's Head Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.639297,-74.031998
Cedar Grove Beach Zone 2,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",,,,,,40.559615,-74.101569
Little Island,Park,Hudson River Park,Year Round,6am - 11pm,Fully Accessible,,,,,40.741724,-74.010743
"Bellerose Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/bellerose,40.735169,-73.717106
Holcombe Rucker Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.829191,-73.936172
Parque De Los Ninos Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.827144,-73.873724
Greenwood Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.650466,-73.97658
,,,,,,,,,,,
Robert Moses Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.748089,-73.968696
Belmont Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.850641,-73.887478
Dinosaur Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.796672,-73.975168
Shore Road Park Zone 4,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.611998,-74.035716
Springfield Park North,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.663821,-73.759545
Gravesend Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.623984,-73.984921
"Morris Park Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/morris-park,40.848037,-73.856959
Locust Point Marina,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.816569,-73.806112
Bleecker Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.736361,-74.005567
Raymond OConnor Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.771005,-73.779037
"Rochdale Village Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/rochdale-village,40.672884,-73.770592
"High Bridge Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/high-bridge,40.837968,-73.923552
Abigail Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.817324,-73.904836
Playground One Fifty Two CLII,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.827946,-73.939952
Park Of The Americas,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.748954,-73.861779
Captain Mario Fajardo Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.743495,-73.814815
"Spuyten Duyvil Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/spuyten-duyvil,40.886294,-73.914652
805 Third Avenue POPS,Privately Owned Public Space,Cohen Brothers Real Estate Development Corporation,Year Round,Monday to Friday: 8:00 am-7:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,No,,,40.755396,-73.970541
Triassic Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.73001,-73.835105
American Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.72874,-73.957634
Pierrepont Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.696354,-73.997607
Fort Washington Park Zone 4,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.868463,-73.93125
"Flatlands Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/flatlands,40.619776,-73.933215
Captain William Harry Thompson Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.834327,-73.877894
Russell Sage Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.72396,-73.851646
,,,,,,,,,,,
City Line Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.67953,-73.876243
Evergreen Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.697049,-73.896392
,,,,,,,,,,,
"East Flatbush Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/east-flatbush,40.655719,-73.914942
,,,,,,,,,,,
Josephine Caminiti Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.743795,-73.861554
Dongan Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.582812,-74.089834
Dr. Charles R. Drew Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.680215,-73.802383
Gen. Douglas MacArthur Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.58593,-74.100791
Nautilus Playground,Park,NYC Parks,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.684648,-73.770251
,,,,,,,,,,,
Bay Terrace Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.782441,-73.777276
Scylla Playground,Park,NYC Parks,Year Round,"Fall, spring summer: 7am - 9pm. Winter: 7am - 5:30pm",Fully Accessible,,,,,40.783722,-73.926221
61 West 62nd Street POPS,Privately Owned Public Space,Lincoln Center for the Performing Arts,Year Round,Monday to Friday: 8:00 am-10:00 pm; Saturday & Sunday: 9:00 am-10:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),Yes,Located within the David Rubenstein Atrium at Lincoln Center.,,40.771123,-73.982838
"Glendale Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/glendale,40.702594,-73.875746
